dtime,time,open,high,low,close,vwap,volume,count
2022-11-09 09:00:00,1667984400,1.00546,1.00574,1.00236,1.00368,1.0048,3492705.01676434,4364
2022-11-09 10:00:00,1667988000,1.00368,1.00428,1.00209,1.00345,1.00348,5100135.0686609,4121
2022-11-09 11:00:00,1667991600,1.00342,1.00602,1.003,1.0042,1.00444,4099819.44131947,4025
2022-11-09 12:00:00,1667995200,1.0042,1.00514,1.003,1.0039,1.00366,5445095.3040244,4969
2022-11-09 13:00:00,1667998800,1.00391,1.00412,0.99993,1.00175,1.00225,5482561.45799769,9340
2022-11-09 14:00:00,1668002400,1.00175,1.00354,0.99882,0.99986,1.00219,5530336.52244634,6672
2022-11-09 15:00:00,1668006000,0.9989,1.00782,0.9989,1.00201,1.00396,9799953.05093448,5014
2022-11-09 16:00:00,1668009600,1.00201,1.00493,1.00201,1.00357,1.00316,3869661.77528837,3788
2022-11-09 17:00:00,1668013200,1.00355,1.00409,1.0019,1.0023,1.00274,2187883.65809908,2119
2022-11-09 18:00:00,1668016800,1.00231,1.00528,1.0,1.0009,1.00163,4019229.67553092,3572
2022-11-09 19:00:00,1668020400,1.0009,1.0012,0.99877,0.99993,1.00014,2713076.23443641,2570
2022-11-09 20:00:00,1668024000,1.00001,1.00161,0.99993,1.00078,1.0009,5939196.66166543,3889
2022-11-09 21:00:00,1668027600,1.00067,1.00148,0.99823,1.00072,1.00058,2363677.34297094,4086
2022-11-09 22:00:00,1668031200,1.00072,1.00129,0.99946,1.001,1.00041,2784210.09640995,3700
2022-11-09 23:00:00,1668034800,1.001,1.00166,1.00056,1.00166,1.0011,1977658.9422678,2327
2022-11-10 00:00:00,1668038400,1.00166,1.00301,1.001,1.00161,1.0018,1771827.99466757,2096
2022-11-10 01:00:00,1668042000,1.00161,1.00269,1.00145,1.0019,1.00208,614675.25786201,1302
2022-11-10 02:00:00,1668045600,1.00198,1.0022,1.00056,1.00131,1.00121,520270.92018838,1120
2022-11-10 03:00:00,1668049200,1.00133,1.00256,1.00109,1.00234,1.00204,500967.4263906,1223
2022-11-10 04:00:00,1668052800,1.00238,1.00266,1.00184,1.00236,1.00213,775020.92913329,1136
2022-11-10 05:00:00,1668056400,1.00236,1.00339,1.00215,1.00291,1.00292,703104.16746519,1346
2022-11-10 06:00:00,1668060000,1.0029,1.00352,1.00198,1.00213,1.00285,2802592.79485879,2780
2022-11-10 07:00:00,1668063600,1.00215,1.00215,0.99892,0.99902,1.00026,3576555.06345592,2669
2022-11-10 08:00:00,1668067200,0.99899,1.00067,0.99805,0.99855,0.99935,2151436.34606683,2668
2022-11-10 09:00:00,1668070800,0.99854,0.99856,0.99524,0.99551,0.99698,3090937.77273183,3246
2022-11-10 10:00:00,1668074400,0.9955,0.99661,0.9938,0.99516,0.99514,3005354.49113163,3091
2022-11-10 11:00:00,1668078000,0.99516,0.9956,0.9933,0.9944,0.99462,2321608.16261101,2787
2022-11-10 12:00:00,1668081600,0.9944,0.99494,0.9928,0.99456,0.99406,8806480.61900058,5054
2022-11-10 13:00:00,1668085200,0.99432,1.015,0.99384,1.01218,1.00326,13513622.57306529,7205
2022-11-10 14:00:00,1668088800,1.01229,1.01539,1.01016,1.01352,1.01297,7742713.94755676,3978
2022-11-10 15:00:00,1668092400,1.01357,1.01779,1.0132,1.01749,1.01511,4395596.94888298,3960
2022-11-10 16:00:00,1668096000,1.01741,1.01772,1.01381,1.01579,1.01558,3258589.5764139,2352
2022-11-10 17:00:00,1668099600,1.01557,1.01602,1.01169,1.01269,1.01374,1657144.26695558,2134
2022-11-10 18:00:00,1668103200,1.01269,1.01551,1.01233,1.01495,1.01392,2150420.79927257,2631
2022-11-10 19:00:00,1668106800,1.01516,1.0185,1.01516,1.01789,1.01672,644461.8468457,976
2022-11-10 20:00:00,1668110400,1.01789,1.01936,1.01731,1.01906,1.01839,1379241.53304338,1381
2022-11-10 21:00:00,1668114000,1.01917,1.02253,1.01892,1.02088,1.02114,3611781.69488853,2202
2022-11-10 22:00:00,1668117600,1.02135,1.02139,1.0184,1.01928,1.01965,2172313.23759681,1286
2022-11-10 23:00:00,1668121200,1.0191,1.01929,1.01772,1.01851,1.01865,1304365.40841788,1115
2022-11-11 00:00:00,1668124800,1.01838,1.01853,1.01645,1.0174,1.01737,728015.141146,716
2022-11-11 01:00:00,1668128400,1.01741,1.01826,1.01514,1.01544,1.01638,613610.09811548,794
2022-11-11 02:00:00,1668132000,1.01575,1.01846,1.01545,1.01831,1.0169,250585.57003433,700
2022-11-11 03:00:00,1668135600,1.01825,1.01837,1.01692,1.01709,1.01772,462908.48245347,565
2022-11-11 04:00:00,1668139200,1.01694,1.01807,1.01633,1.01793,1.01706,86425.67701388,459
2022-11-11 05:00:00,1668142800,1.018,1.0213,1.01765,1.02086,1.01963,595108.13215547,533
2022-11-11 06:00:00,1668146400,1.02088,1.02252,1.02037,1.02128,1.02095,1196521.32284477,927
2022-11-11 07:00:00,1668150000,1.02133,1.02471,1.0207,1.02404,1.02212,1242017.59736845,823
2022-11-11 08:00:00,1668153600,1.02406,1.02694,1.02234,1.02632,1.024,1079905.19582536,959
2022-11-11 09:00:00,1668157200,1.02636,1.02651,1.02135,1.02601,1.02411,845529.69398677,739
2022-11-11 10:00:00,1668160800,1.02602,1.02746,1.02445,1.02445,1.02622,1052936.27841978,962
2022-11-11 11:00:00,1668164400,1.02494,1.02888,1.02485,1.02824,1.0267,1920398.68533695,1053
2022-11-11 12:00:00,1668168000,1.02818,1.03099,1.0279,1.03099,1.02898,1685831.33620239,1627
2022-11-11 13:00:00,1668171600,1.03054,1.03204,1.02997,1.03062,1.03105,3186981.37312822,2087
2022-11-11 14:00:00,1668175200,1.0308,1.0316,1.02605,1.02824,1.0289,4978777.52788354,4845
2022-11-11 15:00:00,1668178800,1.02822,1.03233,1.02718,1.0321,1.02974,3370130.51842884,2668
2022-11-11 16:00:00,1668182400,1.03211,1.03343,1.03083,1.03267,1.03227,2167699.23542479,2115
2022-11-11 17:00:00,1668186000,1.03298,1.03451,1.03224,1.03372,1.03305,818465.62693854,1184
2022-11-11 18:00:00,1668189600,1.03375,1.03523,1.0334,1.03523,1.03442,828239.14283088,1272
2022-11-11 19:00:00,1668193200,1.03498,1.03579,1.03458,1.03552,1.0352,614056.23576468,1052
2022-11-11 20:00:00,1668196800,1.03578,1.03589,1.03422,1.03521,1.03525,750750.49479884,928
2022-11-11 21:00:00,1668200400,1.03524,1.03602,1.03489,1.03529,1.03544,1673571.64605914,1506
2022-11-11 22:00:00,1668204000,1.03534,1.0364,1.03531,1.03591,1.03587,384706.96543678,633
2022-11-11 23:00:00,1668207600,1.03591,1.03672,1.03509,1.03604,1.0362,661996.56895825,1245
2022-11-12 00:00:00,1668211200,1.03605,1.0389,1.03596,1.03702,1.0369,516004.91229626,604
2022-11-12 01:00:00,1668214800,1.03702,1.03723,1.03595,1.03595,1.03656,139205.77048096,371
2022-11-12 02:00:00,1668218400,1.03652,1.03672,1.03607,1.03643,1.03649,95142.42093348,382
2022-11-12 03:00:00,1668222000,1.03643,1.03665,1.03585,1.03585,1.0361,75271.24618118,362
2022-11-12 04:00:00,1668225600,1.03585,1.0362,1.03522,1.0353,1.03575,242101.43494092,777
2022-11-12 05:00:00,1668229200,1.03533,1.036,1.0352,1.03528,1.03545,238174.42312944,813
2022-11-12 06:00:00,1668232800,1.03529,1.0357,1.0351,1.03519,1.03525,217520.59686583,651
2022-11-12 07:00:00,1668236400,1.03519,1.03555,1.03507,1.03517,1.0352,449766.35267283,670
2022-11-12 08:00:00,1668240000,1.03516,1.03544,1.03508,1.03513,1.03521,377510.4142362,659
2022-11-12 09:00:00,1668243600,1.03513,1.03636,1.03505,1.03524,1.03544,326534.27482737,528
2022-11-12 10:00:00,1668247200,1.03522,1.03559,1.03501,1.03501,1.03519,187618.84552849,547
2022-11-12 11:00:00,1668250800,1.03501,1.03533,1.03498,1.03528,1.03513,195694.90517665,429
2022-11-12 12:00:00,1668254400,1.03509,1.03604,1.03486,1.0356,1.03548,517534.95067249,551
2022-11-12 13:00:00,1668258000,1.03551,1.03985,1.03545,1.03565,1.03679,884641.72415124,414
2022-11-12 14:00:00,1668261600,1.03571,1.0374,1.03486,1.03645,1.03594,1782808.26478592,1105
2022-11-12 15:00:00,1668265200,1.03708,1.03768,1.03653,1.03698,1.03695,420412.48538006,545
2022-11-12 16:00:00,1668268800,1.03698,1.03908,1.03642,1.03695,1.03729,548491.33057504,461
2022-11-12 17:00:00,1668272400,1.03692,1.03798,1.0364,1.03782,1.03677,417709.22159874,391
2022-11-12 18:00:00,1668276000,1.03782,1.0382,1.03744,1.03813,1.03785,159458.70784597,243
2022-11-12 19:00:00,1668279600,1.03771,1.0384,1.03771,1.03773,1.03817,372271.8120784,387
2022-11-12 20:00:00,1668283200,1.03773,1.03901,1.03743,1.03771,1.03795,116393.20077137,171
2022-11-12 21:00:00,1668286800,1.03771,1.0382,1.03731,1.03744,1.03781,51989.62299554,166
2022-11-12 22:00:00,1668290400,1.03744,1.03785,1.037,1.037,1.03734,36801.11982293,121
2022-11-12 23:00:00,1668294000,1.037,1.03729,1.03642,1.03672,1.03675,66545.97350147,218
2022-11-13 00:00:00,1668297600,1.03672,1.03744,1.03672,1.03683,1.03712,42675.43204918,137
2022-11-13 01:00:00,1668301200,1.03683,1.0378,1.0366,1.03758,1.03712,98279.36050376,153
2022-11-13 02:00:00,1668304800,1.03735,1.0424,1.03725,1.03771,1.03963,706833.77008507,282
2022-11-13 03:00:00,1668308400,1.03771,1.03783,1.0373,1.03766,1.03755,300554.52383693,272
2022-11-13 04:00:00,1668312000,1.03766,1.03784,1.03732,1.03755,1.03759,72463.66586669,199
2022-11-13 05:00:00,1668315600,1.03754,1.03782,1.03735,1.03752,1.03754,42569.22239767,105
2022-11-13 06:00:00,1668319200,1.03754,1.03768,1.03734,1.03734,1.03749,74240.43363264,265
2022-11-13 07:00:00,1668322800,1.03734,1.03739,1.03657,1.03695,1.03704,170684.68080039,462
2022-11-13 08:00:00,1668326400,1.03721,1.03743,1.03663,1.03671,1.03702,124874.97393184,467
2022-11-13 09:00:00,1668330000,1.03671,1.0376,1.03556,1.03678,1.03674,463693.2305033,822
2022-11-13 10:00:00,1668333600,1.0368,1.0388,1.03672,1.03813,1.03765,491287.52529056,586
2022-11-13 11:00:00,1668337200,1.03782,1.0412,1.03749,1.03826,1.03903,452345.57974405,567
2022-11-13 12:00:00,1668340800,1.03854,1.0411,1.0382,1.03902,1.03918,611663.28951224,612
2022-11-13 13:00:00,1668344400,1.03882,1.04239,1.03811,1.03854,1.03947,523156.27006629,808
2022-11-13 14:00:00,1668348000,1.03904,1.04009,1.03853,1.03874,1.03917,130354.75137993,547
2022-11-13 15:00:00,1668351600,1.03902,1.03919,1.03857,1.0387,1.03886,285382.61324306,724
2022-11-13 16:00:00,1668355200,1.03904,1.03913,1.03861,1.03872,1.03908,650890.95061116,945
2022-11-13 17:00:00,1668358800,1.03902,1.03913,1.03844,1.03852,1.03877,183588.54698153,503
2022-11-13 18:00:00,1668362400,1.03852,1.0417,1.03851,1.03912,1.03932,473408.94487666,914
2022-11-13 19:00:00,1668366000,1.03911,1.0407,1.03851,1.03895,1.03942,387980.61594066,514
2022-11-13 20:00:00,1668369600,1.03895,1.04011,1.0374,1.03929,1.03872,398244.50501203,837
2022-11-13 21:00:00,1668373200,1.03874,1.0413,1.0375,1.03803,1.03874,730181.95326464,528
2022-11-13 22:00:00,1668376800,1.03826,1.03843,1.03212,1.03308,1.03401,650630.51558818,687
2022-11-13 23:00:00,1668380400,1.0331,1.0373,1.03236,1.03378,1.03384,1207150.11044367,1132
2022-11-14 00:00:00,1668384000,1.03318,1.03619,1.03299,1.0342,1.03432,545724.49920969,706
2022-11-14 01:00:00,1668387600,1.03377,1.0359,1.03297,1.03297,1.03418,191031.17966674,238
2022-11-14 02:00:00,1668391200,1.03319,1.03389,1.03214,1.03341,1.03302,158251.66669966,169
2022-11-14 03:00:00,1668394800,1.03299,1.03419,1.03292,1.03338,1.03333,68940.98411255,129
2022-11-14 04:00:00,1668398400,1.0335,1.03351,1.03094,1.03235,1.03166,81330.62541001,245
2022-11-14 05:00:00,1668402000,1.03128,1.03202,1.03039,1.031,1.03126,72920.75066386,323
2022-11-14 06:00:00,1668405600,1.03044,1.03435,1.0304,1.03311,1.03321,377105.62327261,844
2022-11-14 07:00:00,1668409200,1.03312,1.0339,1.03218,1.03372,1.0332,652875.1840416,1264
2022-11-14 08:00:00,1668412800,1.03373,1.037,1.03315,1.03511,1.03476,1149788.61906601,702
2022-11-14 09:00:00,1668416400,1.03511,1.03511,1.03151,1.03217,1.03371,1901555.70535516,1342
2022-11-14 10:00:00,1668420000,1.03288,1.03377,1.02981,1.0309,1.03164,1164293.0228039,760
2022-11-14 11:00:00,1668423600,1.0309,1.03139,1.02864,1.02939,1.02959,859080.65460861,1053
2022-11-14 12:00:00,1668427200,1.02937,1.03292,1.02901,1.03292,1.02943,234689.58556748,420
2022-11-14 13:00:00,1668430800,1.03385,1.03385,1.03118,1.03181,1.03219,1354306.95153631,1638
2022-11-14 14:00:00,1668434400,1.03175,1.03269,1.03019,1.0314,1.03134,846196.58758907,1251
2022-11-14 15:00:00,1668438000,1.03264,1.0336,1.03179,1.03301,1.0325,1529014.91047764,1116
2022-11-14 16:00:00,1668441600,1.03292,1.03512,1.0323,1.03312,1.03407,1640853.34467512,729
2022-11-14 17:00:00,1668445200,1.03364,1.03489,1.03298,1.03325,1.03396,885763.45212907,425
2022-11-14 18:00:00,1668448800,1.03321,1.03529,1.03306,1.035,1.0343,454515.60587327,412
2022-11-14 19:00:00,1668452400,1.03511,1.03589,1.03435,1.03491,1.03509,365605.12887331,463
2022-11-14 20:00:00,1668456000,1.035,1.03519,1.033,1.033,1.03419,538549.27545669,445
2022-11-14 21:00:00,1668459600,1.03306,1.0335,1.03259,1.03289,1.03311,622973.35254192,470
2022-11-14 22:00:00,1668463200,1.03289,1.03389,1.03273,1.03273,1.03291,266543.42010037,211
2022-11-14 23:00:00,1668466800,1.0326,1.0332,1.03181,1.03255,1.03254,229167.97265747,280
2022-11-15 00:00:00,1668470400,1.03271,1.03284,1.03161,1.03199,1.03224,398805.89585416,226
2022-11-15 01:00:00,1668474000,1.03226,1.03284,1.03158,1.03226,1.03234,133979.49033088,190
2022-11-15 02:00:00,1668477600,1.03215,1.03303,1.03152,1.03221,1.03241,484229.45743188,313
2022-11-15 03:00:00,1668481200,1.03235,1.03284,1.03169,1.03221,1.03252,348927.58479866,237
2022-11-15 04:00:00,1668484800,1.03241,1.03267,1.03191,1.03244,1.03227,462850.6183736,324
2022-11-15 05:00:00,1668488400,1.03258,1.03382,1.03249,1.03363,1.03321,1114716.67192286,928
2022-11-15 06:00:00,1668492000,1.03336,1.03455,1.03323,1.03445,1.03386,434345.01384121,205
2022-11-15 07:00:00,1668495600,1.03459,1.04146,1.03429,1.04039,1.03824,1284381.91152741,642
2022-11-15 08:00:00,1668499200,1.04045,1.04166,1.03924,1.04021,1.04033,832764.78755929,1005
2022-11-15 09:00:00,1668502800,1.04048,1.04094,1.03897,1.04019,1.0398,844241.66050544,672
2022-11-15 10:00:00,1668506400,1.04029,1.04361,1.0398,1.04328,1.04113,1459492.10360131,469
2022-11-15 11:00:00,1668510000,1.04309,1.04376,1.041,1.04138,1.04215,1452314.24694345,748
2022-11-15 12:00:00,1668513600,1.0413,1.04169,1.0399,1.04081,1.04061,643101.23193655,535
2022-11-15 13:00:00,1668517200,1.04063,1.04746,1.03948,1.04286,1.04254,6515642.55644965,2163
2022-11-15 14:00:00,1668520800,1.04289,1.04336,1.03666,1.0384,1.04011,1943571.13123156,1170
2022-11-15 15:00:00,1668524400,1.03868,1.04108,1.03603,1.03701,1.03886,2814680.72635876,1321
2022-11-15 16:00:00,1668528000,1.03689,1.03855,1.03606,1.03687,1.0376,750496.34828666,679
2022-11-15 17:00:00,1668531600,1.03686,1.03818,1.03463,1.0381,1.03641,1350758.31364648,667
2022-11-15 18:00:00,1668535200,1.03788,1.03837,1.02906,1.0306,1.03164,1402178.292342,840
2022-11-15 19:00:00,1668538800,1.03075,1.03628,1.02754,1.03618,1.03092,1793940.49977332,1150
